Linux-poison-latest	0
Linux-poison-pinned-tag	0
Linux-poison-pinned-url	0
Linux-poison-latest-env	0
Linux-poison-relative-location	0
Linux-poison-slash-tag	0
Linux-poison-repo-override	0
Linux-poison-rate-403-bare	3
Linux-poison-rate-403-delay	3
Linux-poison-rate-403-date	3
Linux-poison-rate-403-reset	3
Linux-poison-rate-429-bare	3
Linux-poison-rate-429-delay	3
Linux-poison-rate-429-date	3
Linux-poison-rate-429-reset	3
Linux-poison-dns	4
Linux-poison-offline	4
Linux-poison-missing-latest	5
Linux-poison-missing-redirect	5
Linux-poison-missing-tag	5
Linux-poison-missing-checksum	5
Linux-poison-download-rate	3
Linux-poison-download-offline	4
Linux-poison-server-error	6
Linux-poison-checksum-mismatch	1
Linux-absent-latest	0
Linux-absent-pinned-tag	0
Linux-absent-pinned-url	0
Linux-absent-latest-env	0
Linux-absent-relative-location	0
Linux-absent-slash-tag	0
Linux-absent-repo-override	0
Linux-absent-rate-403-bare	3
Linux-absent-rate-403-delay	3
Linux-absent-rate-403-date	3
Linux-absent-rate-403-reset	3
Linux-absent-rate-429-bare	3
Linux-absent-rate-429-delay	3
Linux-absent-rate-429-date	3
Linux-absent-rate-429-reset	3
Linux-absent-dns	4
Linux-absent-offline	4
Linux-absent-missing-latest	5
Linux-absent-missing-redirect	5
Linux-absent-missing-tag	5
Linux-absent-missing-checksum	5
Linux-absent-download-rate	3
Linux-absent-download-offline	4
Linux-absent-server-error	6
Linux-absent-checksum-mismatch	1
Darwin-poison-latest	0
Darwin-poison-pinned-tag	0
Darwin-poison-pinned-url	0
Darwin-poison-latest-env	0
Darwin-poison-relative-location	0
Darwin-poison-slash-tag	0
Darwin-poison-repo-override	0
Darwin-poison-rate-403-bare	3
Darwin-poison-rate-403-delay	3
Darwin-poison-rate-403-date	3
Darwin-poison-rate-403-reset	3
Darwin-poison-rate-429-bare	3
Darwin-poison-rate-429-delay	3
Darwin-poison-rate-429-date	3
Darwin-poison-rate-429-reset	3
Darwin-poison-dns	4
Darwin-poison-offline	4
Darwin-poison-missing-latest	5
Darwin-poison-missing-redirect	5
Darwin-poison-missing-tag	5
Darwin-poison-missing-checksum	5
Darwin-poison-download-rate	3
Darwin-poison-download-offline	4
Darwin-poison-server-error	6
Darwin-poison-checksum-mismatch	1
Darwin-absent-latest	0
Darwin-absent-pinned-tag	0
Darwin-absent-pinned-url	0
Darwin-absent-latest-env	0
Darwin-absent-relative-location	0
Darwin-absent-slash-tag	0
Darwin-absent-repo-override	0
Darwin-absent-rate-403-bare	3
Darwin-absent-rate-403-delay	3
Darwin-absent-rate-403-date	3
Darwin-absent-rate-403-reset	3
Darwin-absent-rate-429-bare	3
Darwin-absent-rate-429-delay	3
Darwin-absent-rate-429-date	3
Darwin-absent-rate-429-reset	3
Darwin-absent-dns	4
Darwin-absent-offline	4
Darwin-absent-missing-latest	5
Darwin-absent-missing-redirect	5
Darwin-absent-missing-tag	5
Darwin-absent-missing-checksum	5
Darwin-absent-download-rate	3
Darwin-absent-download-offline	4
Darwin-absent-server-error	6
Darwin-absent-checksum-mismatch	1
fresh	0
migrate	0
reinstall	0
update	0
rollback-existing	1
checksum	1
unhealthy	1
recover	0
uninstall	0
nohome	2
noarch	2
freebsd-selftest	0
noplat	2
